text,category
tong sampah tidak ada warga buang sembarangan,kebersihan
sampah medis berserakan berbahaya kesehatan,kebersihan
truk sampah rusak tidak beroperasi lama,kebersihan
got mampet air hitam meluap jalan,kebersihan
sampah dibakar warga polusi asap,kebersihan
tempat cuci tangan umum kotor tidak terawat,kebersihan
saluran air penuh sampah bau,kebersihan
taman kota penuh sampah tidak dibersihkan,kebersihan
sampah industri dibuang sembarangan sungai,kebersihan
petugas kebersihan tidak bekerja malas,kebersihan
got penuh lumpur bau busuk,kebersihan
tempat sampah terlalu jauh susah buang,kebersihan
sampah elektronik berserakan berbahaya lingkungan,kebersihan
truk sampah lewat subuh berisik ganggu,kebersihan
got penuh baju bekas tersumbat,kebersihan
tempat sampah terbalik sampah berhamburan,kebersihan
selokan tidak pernah dibersihkan bertahun tahun,kebersihan
sampah rumah tangga menumpuk pinggir jalan,kebersihan
toilet umum kotor bau tidak layak,kebersihan
got dipenuhi styrofoam tersumbat total,kebersihan
tempat sampah kecil tidak cukup,kebersihan
petugas kebersihan kurang tidak efektif,kebersihan
sampah sisa pasar berserakan malam hari,kebersihan
selokan penuh bangkai hewan bau,kebersihan
taman bermain kotor sampah botol plastik,kebersihan
tempat sampah hilang warga bingung buang,kebersihan
got penuh oli bekas mencemari lingkungan,kebersihan
sampah kardus menumpuk mudah terbakar,kebersihan
drainase bocor air kotor merembes rumah,kebersihan
tempat sampah rusak tidak bisa ditutup,kebersihan
got dipenuhi tanah longsor tersumbat,kebersihan
sampah kaca pecah berserakan bahaya anak,kebersihan
tpa overflow sampah kembali ke permukiman,kebersihan
toilet sekolah kotor tidak layak siswa,kebersihan
pelayanan ktp sangat lambat berbulan bulan,pelayanan-publik
petugas tidak ramah kasar berbicara,pelayanan-publik
syarat administrasi berbelit ribet tidak jelas,pelayanan-publik
petugas sering tidak ada ditempat,pelayanan-publik
jam pelayanan tidak sesuai tutup lebih awal,pelayanan-publik
pelayanan diskriminatif pilih kasih orang,pelayanan-publik
pungli minta uang tidak resmi,pelayanan-publik
antrian panjang pelayanan sangat lama,pelayanan-publik
petugas main hp tidak melayani,pelayanan-publik
berkas hilang harus mengurus ulang,pelayanan-publik
sistem online error tidak bisa akses,pelayanan-publik
petugas tidak kompeten tidak paham tugas,pelayanan-publik
pelayanan lambat sikap petugas buruk,pelayanan-publik
biaya tidak jelas tidak ada rincian,pelayanan-publik
loket tutup padahal jam kerja,pelayanan-publik
petugas tidur saat jam pelayanan,pelayanan-publik
pelayanan perizinan berbelit lama keluar,pelayanan-publik
formulir tidak tersedia harus beli,pelayanan-publik
petugas minta amplop tidak transparan,pelayanan-publik
pelayanan akta kelahiran sangat lama,pelayanan-publik
sistem antrian tidak jelas berebutan,pelayanan-publik
petugas jutek tidak senyum sinis,pelayanan-publik
pelayanan paspor lama berbulan bulan,pelayanan-publik
persyaratan berubah ubah tidak konsisten,pelayanan-publik
petugas tidak memberikan informasi jelas,pelayanan-publik
ruang tunggu panas tidak nyaman,pelayanan-publik
pelayanan stnk lama harus bolak balik,pelayanan-publik
website pelayanan tidak bisa dibuka,pelayanan-publik
petugas bolos tidak ada pengganti,pelayanan-publik
pelayanan imb rumah berbelit sangat lama,pelayanan-publik
fotocopy mahal tidak boleh bawa sendiri,pelayanan-publik
petugas arogan tidak mau membantu,pelayanan-publik
pelayanan kelurahan tutup tanpa pemberitahuan,pelayanan-publik
sistem informasi tidak update bingung,pelayanan-publik
petugas merokok saat melayani tidak sopan,pelayanan-publik
pelayanan sim lama harus menginap,pelayanan-publik
berkas ditolak alasan tidak jelas,pelayanan-publik
loket pelayanan hanya satu antrian lama,pelayanan-publik
petugas tidak disiplin datang siang,pelayanan-publik
pelayanan kartu keluarga ribet lama,pelayanan-publik
komputer pelayanan rusak lambat loading,pelayanan-publik
petugas makan saat jam pelayanan,pelayanan-publik
sistem pelayanan tidak transparan gelap,pelayanan-publik
petugas tidak mau menjelaskan prosedur,pelayanan-publik
ruang tunggu kotor tidak terawat,pelayanan-publik
pelayanan npwp lama tidak efisien,pelayanan-publik
petugas meminta uang tip tidak resmi,pelayanan-publik
loket informasi kosong tidak ada petugas,pelayanan-publik
pelayanan desa lambat kepala desa jarang,pelayanan-publik
guru sering tidak masuk kelas kosong,pendidikan
fasilitas sekolah rusak tidak diperbaiki,pendidikan
buku pelajaran tidak tersedia siswa bingung,pendidikan
toilet sekolah kotor bau tidak layak,pendidikan
atap kelas bocor hujan masuk,pendidikan
kursi meja sekolah rusak banyak,pendidikan
perpustakaan sepi buku lama tidak update,pendidikan
lapangan sekolah berlubang berbahaya anak,pendidikan
guru galak suka marah murid takut,pendidikan
kantin sekolah tidak sehat kotor,pendidikan
alat peraga pembelajaran tidak ada,pendidikan
guru datang terlambat pulang cepat,pendidikan
ruang kelas panas tidak ada kipas,pendidikan
lab komputer rusak tidak bisa praktik,pendidikan
guru tidak menguasai materi asal ngajar,pendidikan
pagar sekolah rusak bahaya siswa keluar,pendidikan
uks sekolah tidak ada obat,pendidikan
guru pilih kasih siswa tertentu saja,pendidikan
gedung sekolah retak khawatir roboh,pendidikan
buku perpustakaan hilang banyak dicuri,pendidikan
guru jarang hadir siswa main sendiri,pendidikan
papan tulis rusak susah menulis,pendidikan
seragam sekolah mahal tidak terjangkau,pendidikan
guru memberikan pr terlalu banyak,pendidikan
mushola sekolah kotor tidak terawat,pendidikan
alat olahraga tidak lengkap rusak,pendidikan
guru merokok depan siswa tidak pantas,pendidikan
ruang guru ber ac siswa panas,pendidikan
kepala sekolah jarang ada sering keluar,pendidikan
toilet tidak ada air siswa susah,pendidikan
guru membully siswa verbal abuse,pendidikan
lapangan basket rusak tidak bisa main,pendidikan
buku paket rusak banyak halaman hilang,pendidikan
guru les paksa siswa tidak mau,pendidikan
kantin sekolah jual rokok siswa beli,pendidikan
ruang kelas sempit siswa berdesakan,pendidikan
guru malas mengajar hanya kasih tugas,pendidikan
lampu kelas banyak mati gelap siang,pendidikan
ekstrakurikuler tidak jalan guru tidak ada,pendidikan
guru tidak adil nilai pilih kasih,pendidikan
kamar mandi guru siswa jadi satu,pendidikan
halaman sekolah becek musim hujan,pendidikan
guru main hp saat mengajar,pendidikan
proyektor rusak tidak bisa presentasi,pendidikan
guru sering telat masuk kelas,pendidikan
pojok baca sepi tidak menarik siswa,pendidikan
guru memberikan hukuman fisik memukul,pendidikan
ventilasi kelas kurang pengap panas,pendidikan
guru tidak ramah siswa takut bertanya,pendidikan
tempat parkir tidak ada motor sembarangan,pendidikan
pencurian motor sering terjadi tidak aman,keamanan
lampu jalan mati rawan kejahatan malam,keamanan
ronda malam tidak ada warga was was,keamanan
geng motor sering lewat bikin onar,keamanan
pencuri masuk rumah siang hari,keamanan
pos kamling kosong tidak ada yang jaga,keamanan
perkelahian antar warga sering terjadi,keamanan
premanisme meresahkan masyarakat takut,keamanan
pelecehan seksual sering terjadi jalanan,keamanan
perjudian terbuka tidak ada tindakan,keamanan
minuman keras dijual bebas anak beli,keamanan
tawuran pelajar sering meresahkan warga,keamanan
narkoba beredar bebas banyak pengguna,keamanan
kebakaran sering rumah warga terbakar,keamanan
judi online marak anak remaja kecanduan,keamanan
copet berkeliaran pasar tidak aman,keamanan
balap liar malam hari berisik bahaya,keamanan
satpam tidak ada komplek tidak terjaga,keamanan
penculikan anak sering terjadi orang tua takut,keamanan
pencurian kabel listrik sering gelap,keamanan
pos polisi jauh susah lapor darurat,keamanan
penjambretan motor sering terjadi jalan,keamanan
miras oplosan banyak warga meninggal,keamanan
prostitusi terbuka meresahkan lingkungan,keamanan
cctv tidak berfungsi tidak merekam,keamanan
kebut kebutan anak sma bahaya kecelakaan,keamanan
pencurian ayam ternak sering hilang,keamanan
parkir liar meresahkan macet jalanan,keamanan
penipuan online banyak korban warga,keamanan
debt collector kasar menagih utang,keamanan
tetangga berisik malam hari ganggu,keamanan
anjing liar banyak menggigit anak,keamanan
pohon tumbang bahaya kejatuhan mobil,keamanan
jalan gelap rawan perampokan takut lewat,keamanan
begal motor sering terjadi jam pulang,keamanan
lingkungan kumuh rawan kriminalitas tinggi,keamanan
pagar rumah dirusak orang tidak dikenal,keamanan
petasan dijual bebas anak bermain bahaya,keamanan
kekerasan rumah tangga sering terdengar,keamanan
pencurian spion motor marak parkiran,keamanan
gelandangan banyak meresahkan pedagang,keamanan
razia tidak ada preman bebas,keamanan
minuman keras dijual warung dekat sekolah,keamanan
balapan motor jalanan umum bahaya,keamanan
penodong sering muncul jalan sepi,keamanan
penjual togel terbuka tidak ditindak,keamanan
pembakaran lahan sembarangan polusi asap,keamanan
anjing menggonggong malam ganggu tidur,keamanan
pohon rawan tumbang tidak dipangkas,keamanan
tetangga main petasan tengah malam,keamanan
